id,AE1,AE2,cluster
12,0.5411625,1.9727855,2
14,1.762023,1.032823,1
15,-1.9092758,8.454465,4
18,-0.20739692,0.6564283,0
23,0.41377056,7.944721,4
24,0.46416157,1.5238427,2
29,1.725187,1.5348154,1
32,-0.47553635,1.0722059,0
38,0.9778319,0.5522317,3
51,-0.48578516,7.9691067,4
61,1.5347874,1.4592834,1
67,1.6891295,1.4285392,1
69,-1.5797819,4.740254,4
72,-0.26693955,0.50476646,0
79,0.84530604,0.6166911,3
85,-0.06944011,0.40691411,0
87,-1.5536175,9.37644,4
96,1.1508486,1.0434918,3
102,-0.0013313014,0.49552637,0
103,1.7418633,1.5569938,1
104,1.0446215,0.73383975,3
108,0.8386975,0.65114313,3
112,0.26319322,1.3631725,2
113,0.9906667,0.5758531,3
115,0.94707453,0.5617199,3
117,1.0131452,0.66076887,3
125,0.94669557,0.48918366,3
142,-0.087366484,0.5870975,0
146,1.0656844,0.7334687,3
147,0.9506079,0.6762331,3
148,-1.239918,3.2760854,4
165,0.4027425,1.4422491,2
172,0.47049165,1.8671794,2
192,1.6835523,1.4524167,1
194,0.96078503,0.851948,3
195,1.6450683,1.4061906,1
219,-0.1880146,0.59405845,0
221,-0.3062082,0.5599316,0
228,-0.14733042,0.79962647,0
248,0.15576385,1.8506681,2
262,1.7365003,1.5684237,1
295,0.048739612,9.011752,4
312,0.29937983,1.6583132,2
319,-0.3659334,0.4788527,0
324,0.4300194,1.0916318,2
330,0.45887002,1.4896746,2
339,1.5876106,1.4503134,1
341,-0.8887766,9.22138,4
348,-0.58537257,8.422685,4
352,0.98023444,0.61853963,3
364,1.2700431,0.7781045,3
378,1.4086361,1.8007197,1
389,1.0282152,0.68996376,3
416,1.7072334,1.4535289,1
431,0.6979306,1.5768145,2
434,1.1048903,0.6587013,3
450,0.12407453,9.21165,4
460,1.1819438,0.65551233,3
464,1.1384705,0.5709564,3
471,0.51097655,1.8852425,2
477,0.46599886,1.4463084,2
501,0.53117853,1.88084,2
535,-0.17164081,7.213022,4
544,0.99507374,1.0974839,3
545,1.5375276,1.9088017,1
575,0.9640477,0.5615071,3
579,1.8754258,1.3593464,1
586,1.5003196,1.1259764,1
598,0.9584115,0.6936664,3
599,0.56265134,1.9030521,2
602,1.6120553,1.4043359,1
604,-0.62364835,8.037375,4
605,1.7399005,1.3318604,1
607,1.7334496,1.9636598,1
608,1.6819938,1.497026,1
651,0.69877213,1.9868679,2
664,1.6229752,1.8371993,1
666,-0.2806041,0.51556027,0
672,1.6463325,1.4088141,1
676,0.49552357,1.5015398,2
693,-0.063939214,0.6689452,0
698,-0.016728055,0.87893677,0
699,-0.37509087,0.363913,0
703,-3.0241628,8.6922865,4
704,0.9516038,0.6465128,3
711,-2.6330576,9.335474,4
713,1.5603253,1.8417444,1
743,0.94391364,0.85122067,3
759,0.6857454,1.6511923,2
771,1.6635888,1.5281179,1
774,-0.27761593,1.0079296,0
782,0.34285873,1.7582006,2
791,-0.24534236,1.0033664,0
792,1.5723519,1.4227636,1
796,1.686634,1.8488358,1
814,-0.1089418,0.6481707,0
818,1.6203079,1.4964583,1
832,0.36089885,1.4572474,2
837,1.5047815,1.534589,1
843,0.44325274,1.4166383,2
893,-0.32582247,0.53054005,0
904,0.94114643,0.6301174,3
909,0.991365,0.6832696,3
918,0.21068673,1.1476582,2
919,0.46281105,8.103187,4
937,-0.32324725,0.6359801,0
938,1.1136297,0.6339521,3
950,1.6024776,1.4778688,1
962,1.6751893,1.0907624,1
976,0.54853755,1.7091267,2
985,1.0021352,0.6052931,3
986,-0.55027425,0.6317691,0
992,1.3635058,1.0426496,3
1015,-0.25345442,0.3846312,0
1027,1.1008986,0.5435601,3
1029,0.8823694,0.5868294,3
1035,0.030769467,0.4441951,0
1036,0.78090227,0.49641937,3
1069,-0.019447885,0.5010883,0
1078,-0.10313125,0.6256617,0
1083,0.3349069,1.7453555,2
1084,-0.06997829,0.46358284,0
1087,0.96308047,0.43787348,3
1089,-2.648235,7.440465,4
1099,-0.4245706,0.7632608,0
1102,1.1889867,0.62888336,3
1103,0.49284622,1.275224,2
1105,1.5633984,1.127561,1
1108,-0.1998901,0.5018377,0
1113,1.6709341,1.2696153,1
1122,0.98969895,0.6907759,3
1126,1.647764,1.3719876,1
1136,-0.06653155,8.828337,4
1141,0.5467168,1.375127,2
1154,0.6083527,1.5544511,2
1159,1.0767822,0.6070685,3
1160,0.30655536,1.5086634,2
1169,-0.30481106,0.51753426,0
1181,-3.289804,10.053424,4
1211,-0.4257772,0.81517434,0
1214,-0.13005322,0.44377273,0
1231,0.62358546,1.0582857,3
1234,0.7893247,0.873923,3
1239,-0.27912757,0.6045166,0
1244,0.9946226,0.5484568,3
1256,-0.19808732,0.63909644,0
1268,1.0758692,0.5411703,3
1277,0.94584984,0.60543513,3
1294,1.5475856,1.2597562,1
1302,1.5554278,1.0549462,1
1319,-1.204206,8.973339,4
